"filters1","kernel_size1","pool_size1","filters2","kernel_size2","dense_units","dropout_cnn","dropout_dense","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
32,3,2,64,3,256,0.4,0.3,0.01,16,30,0.475728154182434,30
64,3,2,64,3,256,0.4,0.3,0.01,16,30,0.446601927280426,16
32,5,2,64,3,256,0.4,0.3,0.01,16,30,0.495145618915558,30
64,5,2,64,3,256,0.4,0.3,0.01,16,30,0.45631068944931,16
32,7,2,64,3,256,0.4,0.3,0.01,16,30,0.485436886548996,30
64,7,2,64,3,256,0.4,0.3,0.01,16,30,0.475728154182434,21
32,3,2,128,3,256,0.4,0.3,0.01,16,30,0.495145618915558,25
64,3,2,128,3,256,0.4,0.3,0.01,16,30,0.495145618915558,16
128,3,2,128,3,256,0.4,0.3,0.01,16,30,0.466019421815872,26
32,5,2,128,3,256,0.4,0.3,0.01,16,30,0.504854381084442,30
64,5,2,128,3,256,0.4,0.3,0.01,16,30,0.495145618915558,30
128,5,2,128,3,256,0.4,0.3,0.01,16,30,0.485436886548996,21
32,7,2,128,3,256,0.4,0.3,0.01,16,30,0.466019421815872,20
64,7,2,128,3,256,0.4,0.3,0.01,16,30,0.504854381084442,30
128,7,2,128,3,256,0.4,0.3,0.01,16,30,0.504854381084442,30
32,3,2,64,5,256,0.4,0.3,0.01,16,30,0.475728154182434,30
64,3,2,64,5,256,0.4,0.3,0.01,16,30,0.45631068944931,20
32,5,2,64,5,256,0.4,0.3,0.01,16,30,0.495145618915558,30
64,5,2,64,5,256,0.4,0.3,0.01,16,30,0.514563083648682,30
32,7,2,64,5,256,0.4,0.3,0.01,16,30,0.504854381084442,24
64,7,2,64,5,256,0.4,0.3,0.01,16,30,0.485436886548996,16
32,3,2,128,5,256,0.4,0.3,0.01,16,30,0.504854381084442,16
64,3,2,128,5,256,0.4,0.3,0.01,16,30,0.466019421815872,16
128,3,2,128,5,256,0.4,0.3,0.01,16,30,0.466019421815872,19
32,5,2,128,5,256,0.4,0.3,0.01,16,30,0.485436886548996,19
64,5,2,128,5,256,0.4,0.3,0.01,16,30,0.495145618915558,26
128,5,2,128,5,256,0.4,0.3,0.01,16,30,0.495145618915558,30
32,7,2,128,5,256,0.4,0.3,0.01,16,30,0.485436886548996,30
64,7,2,128,5,256,0.4,0.3,0.01,16,30,0.495145618915558,25
128,7,2,128,5,256,0.4,0.3,0.01,16,30,0.524271845817566,30
32,3,2,0,3,64,0.2,0.4,0.01,16,30,0.514563083648682,30
64,3,2,0,3,64,0.2,0.4,0.01,16,30,0.504854381084442,30
128,3,2,0,3,64,0.2,0.4,0.01,16,30,0.485436886548996,30
32,5,2,0,3,64,0.2,0.4,0.01,16,30,0.485436886548996,30
64,5,2,0,3,64,0.2,0.4,0.01,16,30,0.514563083648682,30
128,5,2,0,3,64,0.2,0.4,0.01,16,30,0.446601927280426,16
